C0018923,Hemangiosarcoma
C1865039,Cupped ribs
C3806510,Horizontal ribs
C4021792,Abnormality of the clavicle
C0426808,Long clavicle
C0158779,Cervical rib
C4721788,Bifid ribs
C1848538,Bulging of the costochondral junction
C0426799,Congenital hypoplasia of clavicle
C0426805,Hooked clavicle
C1835579,Rib exostoses
C4551565,Rachitic rosary
C0426820,Thick rib
C0265695,Congenital fusion of ribs
C1854780,Flaring of rib cage
C1837757,Progressive clavicular acroosteolysis
C1846154,Anterior rib cupping
C1861213,Wide-cupped costochondral junctions
C1855177,Flat glenoid fossa
C1842084,Posterior rib fusion
C1834124,Shield chest
C1864796,Pectus excavatum of inferior sternum
C0426801,Broad clavicle
C1864795,Superior pectus carinatum
C1851415,Scapular exostoses
C1857180,Enlargement of the costochondral junction
C0426816,Absence of rib
C1837483,Posterior rib cupping
C0426824,Beading of ribs
C4021790,Abnormality of the skeletal system
C4021789,Abnormality of the vertebral column
C1844704,Platyspondyly
C4025818,Abnormality of skeletal maturation
C0235942,Abnormality of the skull
C3280768,Abnormality of the posterior cranial fossa
C1840418,Thickened cortex of long bones
C0747078,Generalized osteopenia
C0029453,Osteopenia
C4021787,Abnormal diaphysis morphology
C4025815,Short diaphyses
C4025814,Abnormality of the metaphysis
C1861218,Hypoplastic ilia
C2749582,Dumbbell-shaped long bone
C0022346,Icterus
C0221436,Melanoderma (disorder)
C0424731,Single transverse palmar crease
C0221263,Cafe-au-Lait Spots
C0259817,Xerosis
C0151908,Dry skin
C0426848,Sacral dimple
C0010520,Cyanosis
C0423757,Thin skin
C0263401,Cutis marmorata
C0553721,Diminished sweating
C0031256,Petechiae
C0013604,Edema
C0241074,Hyperextensible skin
C1844592,Soft skin
C0423798,Increased tendency to bruise
C4732730,Blood spots
C0030232,Pallor
C4021786,Atypical scarring of skin
C0033774,Pruritus
C1844597,Molluscoid pseudotumors
C1858545,Facial capillary hemangioma
C1860335,Axillary freckling
C1260926,Abnormal pigmentation
C4025813,Abnormality of subcutaneous fat tissue
C1328931,Multiple lentigines
C0036651,Solar lentigo
C0240278,Lymphatic obstruction
C4025812,Dermatological manifestations of systemic disorders
C1843389,Accumulation of melanosomes in melanocytes
C0162835,Hypopigmentation disorder
C0745730,Multiple lipomata
C0221252,Eruptive xanthoma
C1837785,Prominent superficial veins
C4025811,Anemic pallor
C4025810,Abnormal palmar dermatoglyphics
C1855815,Skin dimple over apex of long bone angulation
C4025809,Penetrating foot ulcers
C1849043,"Soft, doughy skin"
C0392777,Poikiloderma
C0241181,Fragile skin
C1403035,Subcutaneous lipoma
C1861349,Absent distal interphalangeal creases
C4025808,Facial flushing after alcohol intake
C1842774,Hypermelanotic macule
C0030436,Parakeratosis
C1867638,Warfarin-induced skin necrosis
C4025807,Atheroeruptive xanthoma
C1867448,Multiple pterygia
C0005874,Blushing
C0239488,Facial erythema
C4025806,High axial triradius
C1856542,Prominent scalp veins
C4025805,Intermittent jaundice
C0232370,Florid red complexion (finding)
C1836735,hypopigmented skin patch
C1849677,Numerous nevi
C0345996,Milium Cyst
C0282160,Aplasia Cutis Congenita
C1851789,Poor wound healing
C1844738,Axillary pterygium
C0221347,Acrocyanosis
C0152459,Linear atrophy
C1857171,Episodic hyperhidrosis
C0860439,Mottled pigmentation
C0241165,Thick skin
C1851828,Cigarette-paper scars
C4021837,Atypical nevi in non-sun exposed areas
C0162154,Atrophic scar
C0549613,Biliary tract abnormality
C1303007,Brushfield spots
C0423319,Atrophic iris
C1855852,Abnormally large globe
C1867060,"Lacrimal Puncta, Absence of"
C2676026,Optic nerve dysplasia
C2673929,Fundus atrophy
C0423318,Heterochromia iridis
C4520679,Abnormal macular morphology
C1849412,Macular hypoplasia
C1844606,Periorbital hyperpigmentation
C0155210,Eyelid Xanthoma
C1850191,Posterior polar cataract
C4072828,Sudden loss of visual acuity
C0302254,Juvenile cataract
C3887531,Keratoglobus
C3887875,Visual field defects
C1865332,Transient unilateral blurring of vision
C0221259,Trichiasis
C4025800,Large central visual field defect
C0235095,Visual field constriction
C1857627,Chorioretinal dystrophy
C1843517,Retinal arteriolar tortuosity
C1867616,Dermoid choristoma of eye proper
C1301509,Severe visual impairment
C0239119,Lenticonus
C0240897,Retinal exudates
C0155127,"Familial Amyloid Polyneuropathy, Type V"
C1866753,Impaired horizontal smooth pursuit
C1836479,Saccadic smooth pursuit
C0266411,Septate vagina
C0018564,Hand deformities
C0221357,Brachydactyly
C0158733,Hand polydactyly
C0431904,Ulnar polydactyly of fingers
C4021785,Abnormality of the metacarpal bones
C0003706,Arachnodactyly
C2674737,Abnormality of finger
C0264142,Spade-like hand
C0221373,Claw hand
C0575897,Thumb deformity
C0426870,Large hand
C1395852,Polydactyly preaxial type 1
C4025799,Ulnar claw
C0728895,Absent finger
C3554617,Adducted thumb
C0426886,Tapering fingers (finding)
C1844577,Hyperextensibility of the finger joints
C0239815,Hand clenching
C1840535,Abnormality of the carpal bones
C4048199,Ulnar deviation of the hand or of fingers of the hand
C4025798,Abnormalities of placenta or umbilical cord
C1384670,Single umbilical artery
C0266786,Short cord
C4025797,Abnormality of prenatal development or birth
C1862158,Terminal symphalangism of hands
C4025796,Abnormality of the fingertips
C1835807,Prominent fingertip pads
C1859368,Camptodactyly of 2nd-5th fingers
C1841684,Delayed ossification of carpal bones
C0149651,Clubbing
C1833222,Autoamputation
C4021784,Interphalangeal joint contracture of finger
C0241395,Spatulate thumbs
C1854787,Pointed proximal second through fifth metacarpals
C0241760,Wrist swelling
C1842229,Broad metacarpals
C1838167,Nail bed telangiectasia
C0432055,Simple syndactyly of fingers - first web
C0431887,Hitch-hiker thumb
C1857482,Slender finger
C0409345,Flexion contracture - wrist
C1857002,Capitate-hamate fusion
C1846474,Small thenar eminence
C4025795,Short tubular bones of the hand
C0917816,Mental deficiency
C1843367,Poor school performance
C0026827,Muscle hypotonia
C0023380,Lethargy
C0026106,Mild Mental Retardation
C0026838,Muscle Spasticity
C0037772,Spastic Paraplegia
C0009421,Comatose
C0013362,Dysarthria
C0694563,Excessive daytime somnolence
C0557874,Global developmental delay
C0700078,Decreased tendon reflex
C0234985,Mental deterioration
C0018989,Hemiparesis
C1854301,Motor delay
C0262404,Cerebellar degeneration
C0740279,Cerebellar atrophy
C1842581,Abnormal corpus callosum morphology
C0175754,Agenesis of corpus callosum
C0026826,Muscle Hypertonia
C0039070,Syncope
C0039621,Tetany
C1301959,Bulbar weakness
C4082299,Bulbar palsy
C0241772,"Reflex, Deep Tendon, Absent"
C0234146,Absent reflex
C0575059,Spastic tetraparesis
C0575081,Gait abnormality
C0009676,Confusion
C1858120,Generalized hypotonia
C1854510,Abnormality of the cranial nerves
C0521670,Cranial nerve compression
C4025794,Chronic sensorineural polyneuropathy
C0239548,"Fasciculation, Tongue"
C0234162,Cerebellar Dysmetria
C4021781,Abnormal nervous system electrophysiology
C3806961,Giant somatosensory evoked potentials
C1866934,Reduced tendon reflexes
C1866129,Abnormality of the cerebellum
C0742038,Cerebellar signs
C2267233,Neonatal Hypotonia
C0270971,Floppy infant syndrome
C1840379,Cerebellar vermis hypoplasia
C0266470,Cerebellar Hypoplasia
C0151786,Muscle Weakness
C4025792,EEG with irregular generalized spike and wave complexes
C4025791,Photomyoclonic seizures
C4025790,Specific learning disability
C0431371,Absence of septum pellucidum
C0454455,Mirror movements disorder
C0040822,Tremor
C1857278,Partial or complete agenesis of corpus callosum
C0431368,Partial agenesis of corpus callosum
C3552824,Enhancement of the C-reflex
C1855331,Olfactory lobe agenesis
C0553692,Brain hemorrhage
C1854882,Absent speech
C4025789,Psychotic mentation
C0151889,Hyperreflexia
C2673700,Brisk reflexes
C1836003,Facial diplegia
C0234518,Slurred speech
C3552825,Jerk-locked premyoclonus spikes
C0221355,Macrocephaly
C1450010,"Plagiocephaly, Nonsynostotic"
C0265529,Plagiocephaly
C4025788,Nystagmus-induced head nodding
C4025787,Calvarial skull defect
C0240083,Abnormal joint morphology
C0333068,Flexion contracture
C0009918,Contracture of joint
C0019555,"Hip Dislocation, Congenital"
C1857108,Limitation of joint mobility
C1867103,Limited elbow extension
C1844820,Range of joint movement increased
C4020870,Abnormality of the hip joint
C0152031,Joint swelling
C0162298,Joint stiffness
C0086437,Joint laxity
C0022410,Joint Instability
C4021780,Abnormality of the liver
C0239946,"Fibrosis, Liver"
C0085605,Liver Failure
C1859235,Intrahepatic biliary dysgenesis
C1837256,Macrovesicular hepatic steatosis
C1855038,Hepatocellular necrosis
C1849766,Periportal fibrosis
C0267834,Liver cyst
C0267818,Bile duct proliferation
C0232744,Decreased liver function
C1843995,Enteroviral hepatitis
C0267812,Micronodular cirrhosis
C1850415,Microvesicular hepatic steatosis
C1845977,X- linked recessive
C1847879,X-linked dominant inheritance
C0544886,Somatic mutation
C4021779,Abnormality of the calf musculature
C0019214,Hepatosplenomegaly
C4025785,Abnormality of the foot musculature
C4025784,Abnormality of the musculature of the lower limbs
C4020869,Abnormality of abdomen morphology
C1862697,Metatarsal synostosis
C4025777,Autosomal dominant contiguous gene syndrome
C4025774,1-3 toe syndactyly
C4025773,Aplasia/Hypoplasia involving the skeletal musculature
C1855496,Contiguous gene syndrome
C1854614,Metatarsal osteolysis
C1849263,Sclerotic scapulae
C3840083,Late closure of anterior fontanel
C1846911,Compensatory chin elevation
C0016689,Freckles
C0151811,Subcutaneous nodule
C0746926,"Multiple, subcutaneous nodules"
C0233593,Eye poking
C1865916,Bilateral ptosis
C0423361,Posterior Vitreous Detachment
C0344550,Congenital retinal fold
C1833734,Carpal osteolysis
C1863749,Carpal bone hypoplasia
C1844906,Broad finger
C1861360,6 metacarpals
C1854610,Metacarpal osteolysis
C0262361,Growth abnormality
C2315100,Pediatric failure to thrive
C0231246,Failure to gain weight
C0151686,Growth retardation
C0878787,Growth failure
C0456070,Growth delay
C0021296,"Infant, Small for Gestational Age"
C1386048,Intrauterine retardation
C0235991,Small for gestational age (disorder)
C1836996,Disproportionate tall stature
C1848395,Large for gestational age
C1858430,Death in infancy
C1855514,Severe failure to thrive
C0332890,Congenital hemihypertrophy
C1835580,Mild postnatal growth retardation
C1867873,Failure to thrive in infancy
C1850573,Slender build
C1854928,Protuberant abdomen
C0221766,Diastasis recti
C0003962,Ascites
C1837795,Prominent umbilicus
C1838705,Anteriorly placed anus
C4025763,Abnormality of the rib cage
C1849265,Overgrowth
C0264172,Barrel chest
C1858033,Asymmetry of the thorax
C1849510,Prenatal movement abnormality
C0235659,Reduced fetal movement
C0266781,Abnormal amniotic fluid
C1865279,Fetal polyuria
C1835762,Widely-spaced maxillary central incisors
C1839965,Multiple impacted teeth
C0266036,Macrodontia
C4025761,Abnormality of the integument
C4025760,Primary hypercortisolism
C1968851,Pigmented micronodular adrenocortical disease
C1853193,Recurrent skin infections
C0581342,Redundant skin
C0240595,Rotary Nystagmus
C0042582,Vesicovaginal Fistula
C1865186,Bell-shaped thorax
C1970308,Selective tooth agenesis
C0157733,Abnormality of the hair
C0853087,Nail abnormality
C0221261,Koilonychia
C4021777,Abnormality of the larynx
C0264303,Laryngomalacia
C0751576,Partial Paralysis (Paresis) Vocal Cords
C0086523,Laryngeal Paralysis
C0042928,Vocal Cord Paralysis
C0238441,Subglottic stenosis
C4021776,Abnormality of the voice
C0019825,Hoarseness
C0566620,Nasal voice
C0234860,Weak cry
C2678303,Hoarse cry
C1527344,Dysphonia
C0241703,High pitched voice
C0241700,Voice Fatigue
C0006157,Breech Presentation
C0243050,Cardiovascular Abnormalities
C4025759,Abnormal mitral valve morphology
C4025758,Abnormal myocardium morphology
C3164374,Abnormality of pulmonary valve
C3164445,Abnormality of aortic valve
C0039231,Tachycardia
C0241654,Abnormal heart valve morphology
C0151878,Prolonged QT interval
C0428977,Bradycardia
C0162770,Right Ventricular Hypertrophy
C4025756,Abnormal aortic morphology
C0003564,Aphonia
C0085610,Sinus bradycardia
C0085611,Atrial arrhythmia
C0232180,Cardiac shunt
C0428871,Right to left cardiovascular shunt (finding)
C4551493,Situs inversus totalis
C4025754,Abnormal pericardium morphology
C0011071,Sudden death
C1442837,Myocardial necrosis
C4025753,Abnormal tricuspid valve morphology
C0035619,"Ventricular Outflow Obstruction, Right"
C2939447,Right ventricular failure
C0235527,"Heart Failure, Right-Sided"
C0151517,Complete atrioventricular block
C1853238,Conotruncal defect
C0344905,Left ventricular abnormality
C4025752,Abnormal cardiac ventricle morphology
C0340279,Ventricular hypertrophy
C0742747,High-output congestive heart failure
C1112433,Thromboembolic stroke
C1842138,Progressive hearing impairment
C4025751,Abnormality of the pancreas
C0030283,Pancreatic Cyst
C0030293,Pancreatic Insufficiency
C4025750,Abnormality of the nasopharynx
C0027429,Nasal obstruction present finding
C0027424,Nasal congestion (finding)
C4025749,Abnormality of the spleen
C0038002,Splenomegaly
C0600031,Congenital absence of spleen
C0266631,Accessory spleen
C1856659,Polysplenia
C1843865,Vestibular dysfunction
C1848606,Vestibular hypofunction
C4021775,High-frequency sensorineural hearing impairment
C0016506,Foot Deformities
C0728829,Congenital pes cavus
C0039273,Talipes cavus
C1136179,Hammer Toe
C1866241,Broad foot
C0265660,Syndactyly of the toes
C0410264,Contracture of tendo achilles
C0265642,Talipes Equinovalgus
C1848673,Hypoplastic feet
C1837835,Bilateral talipes equinovarus
C2674738,Abnormality of toe
C4025747,Bulbous tips of toes
C1842231,Broad metatarsal
C0235439,Ankle edema (finding)
C0576227,Narrow foot
C0549629,Abnormal delivery
C0020305,Hydrops Fetalis
C1285291,Fetal ascites
C0263523,Micronychia (disorder)
C0423807,Overcurvature of nail
C0423808,Brachyonychia
C1837279,Hypoplastic toenails
C1844555,Absent toenail
C0150993,Pitting of nails
C1856786,Hypoplastic fingernail
C0263537,Onychogryposis
C0085661,Onycholysis
C0423820,Ridged nails
C1856963,Fragile nails
C0263530,Longitudinal split nail
C1833225,Dystrophic toenail
C1844825,Hyperconvex fingernails
C3277753,Deep-set nails
C0423823,Thin nails
C1844554,Absent fingernail
C0240182,Leukonychia
C1843112,Broad nail
C0018536,Hallux Valgus
C0006386,Bunion
C1262477,Weight decreased
C0158734,Polydactyly of toes
C2112129,Postaxial foot polydactyly
C1836195,Short toe
C4025745,Abnormal metatarsal morphology
C0576225,Long foot
C4021774,Camptodactyly of toe
C1865038,Broad toe
C0240912,Vertical Talus
C0432028,Split foot
C0231791,Toeing-in
C4082169,Metatarsus Varus
C2112942,Preaxial foot polydactyly
C4025744,Foot acroosteolysis
C0920299,Overriding toe
C1864375,Long hallux
C1860450,Calcaneovalgus deformity
C4281601,Foot oligodactyly
C1862136,Abnormality of the tarsal bones
C1840069,Sandal gap
C4021772,Bifid distal phalanx of toe
C4021771,Short distal phalanx of toe
C4021770,Clinodactyly of toe
C4025741,Clinodactyly of the 5th toe
C4025740,Autoamputation of foot
C1857953,Deep plantar creases
C4025739,Acroosteolysis of distal phalanges (feet)
C4317046,Hematological abnormality
C0850715,Abnormality of blood and blood-forming tissues
C0151854,Abnormal platelets
C0427515,Neutrophil abnormality
C0853697,Neutrophil count decreased
C0391870,Abnormality of red blood cells
C0855999,Abnormal eosinophil morphology
C0152009,White blood cell abnormality
C0152237,Talipes Calcaneovalgus
C4021769,Short 2nd toe
C4049342,Foot osteomyelitis
C0235983,Normochromic anemia
C0858867,Reticulocytopenia
C1853288,Increased red blood cell mass
C0239935,Hematocrit increased
C0549448,Hemoglobin increased
C1868945,Polyglobulia
C0333864,Giant platelet (morphologic abnormality)
C0340971,Autoimmune neutropenia
C0272278,Congenital thrombocytopenia
C0040038,Thromboembolism
C0085307,Embolism and Thrombosis
C4551567,Abnormal granulocyte morphology
C0855997,Abnormal basophil morphology
C0268382,Amyloid nephropathy
C0022660,"Kidney Failure, Acute"
C0035067,Renal Artery Stenosis
C1836855,Vacuolated lymphocytes
C0206160,Reticulocytosis
C1846821,Abnormality of coagulation
C4317093,Reduced factor XI activity
C4025735,Nonspherocytic hemolytic anemia
